Nom;Emplacement;Pré-Requis;Description et effets;Si défectueux (en plus de la perte de bonus);Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Bras bionique supérieur;-;Bras bionique;Le cyborg augmente ses dégâts de 1 avec les armes de mêlée tenues avec ce bras, sans limite de coups. Ce bonus remplace le bonus de dégât du Bras bionique.;-;1000;175;Superalliage + Biométal + Nanotubes;30 minutes (dont 20 minutes d'installation) OU 1 Downtime;30;1;1
Bras mécanisé;-;Bras bionique;"Le cyborg peut briser une arme ou un objet tenu en main après 5 secondes employées à le broyer, le rendant inutilisable jusqu'à réparation. Il doit annoncer l'effet ""Brise-arme! Ton arme est détruite."". De plus, une fois par combat, il est possible d'infliger l'effet ''Brise-membre! Ton membre est inutilisable jusqu'à guérison'' sur une attaque de mêlée.";-;2000;150;Superalliage (2) + Biométal (2) + Nanotubes (2) + Supraconducteur;45 minutes (dont 30 minutes d'installation) OU 1 Downtime;45;1;1
Projecteur d'acide ;-;Canon intégré;Le canon peut être chargé avec de l'Acide pour projeter une décharge corrosive. L’attaque touche une cible à 3 mètres et inflige 3 dégâts ''brûle''. Recharger l’arme avec une nouvelle dose d'Acide requiert 2 minutes hors-combat.;Subit 1 dégât brûle;500;50;Zirconium (4) + Nanotubes;20 minutes (dont 10 minutes d'installation) OU 1 Downtime;20;1;1
Sauvegarde;-;Émetteur cérébro-spinal;Le cyborg enregistre des informations en continu sur un serveur Extranet sécurisé, mettant constamment à jour une copie de sauvegarde de sa conscience. Même si ses souvenirs sont effacés ou altérés, il lui suffit de faire une demande d'accès auprès de son fournisseur Extranet pour obtenir une sauvegarde vierge d'altération. De plus, advenant son décès, le cyborg peut avoir sa dernière sauvegarde installée dans un clone et reprendre sa vie sans plus d'inquiétudes, tant qu'il dispose des crédits nécessaires. Pour les employés du Projet Ascension, cette amélioration permet également de devenir un Androïde : Conscience entre deux événements au prix d'une action de Downtime avec un Cybernéticien et un Cyberpsychologue. ;-;1000;150;IA + Rhodium (5) + Logiciel ;30 minutes (dont 15 minutes d'installation avec un Programmeur) OU 1 Downtime;30;1;1
Blindage endodermique;-;Endoderme synthétique;L'endoderme synthétique confère 2 points d'armure supplémentaires, pour un total de 4. ;Aucune perte de bonus;1750;250;Tantale (4) + Superalliage (3) + Nanotubes (2);45 minutes (dont 30 minutes d'installation) OU 1 Downtime;45;1;1
Champ statique;-;Endoderme synthétique;La peau du cyborg conduit l'électricité. Il peut électrocuter une cible au contact, infligeant 1 dégât choc par seconde, pour un maximum de 10 secondes par cycle.;Subit 1 dégât choc;750;80;Yttrium (3) + Plastoïde (2);20 minutes (dont 10 minutes d'installation);20;1;1
Isolant Faraday;-;Champ statique;"Le cyborg dispose d'un revêtement cutané capable de repousser les ondes et perturbations électromagnétiques extérieures. Ses implants cybernétiques ne peuvent pas être affectés par les effets Piratage issus de perturbations environnementales et il est toujours résistant aux effets ''Piratage! Défectueux!'' ou ""Magnétique! Défectueux!"" ciblant ses augmentations cybernétiques. De plus, il lui est possible 1 fois par heure de résister à un effet Piratage ou Magéntique qui n'est pas une condition et qui cible spécifiquement ses augmentations cybernétiques. ";Aucune perte de bonus;2250;200;Beryllium (9) + Zirconium (6) + Prométhium (5) + Rhodium (5) + Tantale (2) + Biométal + Nanocrystaux + Thermoplastique (3);45 minutes (dont 30 minutes d'installation) OU 1 Downtime;45;1;1
Routine d'évasion;-;Filet neural + Interface neurale;Le cyborg dispose d'une routine pré-programmée lui permettant d'échapper à une prise d'otage sans laisser le temps à son assaillant de l'exécuter. S'il est affecté par une prise d'otage, il lui est possible d'annoncer ''Évasion! Résiste!'' et de se libérer de son assaillant si se dernier le tenait en lutte. ;-;1250;240;Nanocrystaux + Yttrium (4) + Platine (3) + Logiciel (5);20 minutes (dont 15 minutes d'installation avec un Programmeur) OU 1 Downtime;20;1;1
Émetteur cérébro-spinal;-;Interface neurale;Le cyborg dispose d'émetteurs puissants capables de capter et de relayer de l'information avec précision directement à partir de son interface neurale. Cet émetteur est particulièrement utile pour le Piratage. Le cyborg est capable d'utiliser les effets de la compétence Piratage de combat sans nécessiter de Piratage initial pour accéder aux systèmes de sa cible. Le cyborg est également en mesure d'envoyer une balise de détresse avec sa localisation à des personnes de son choix dans le système, même si le réseau Extranet est compromis.;-;1500;125;Nanocrystaux (2) + Biometal + Supraconducteur + Rhodium + Logiciel (2);30 minutes (dont 20 minutes d'installation) OU 1 Downtime;30;1;1
Régulateur temporal ;-;Interface neurale;Le cyborg est capable d'ajuster à sa discrétion son niveau d'émotivité, disposant de logiciels inhibiteurs capables de taire ses émotions, au détriment de ses capacités sociales et expressives. Le cyborg peut choisir d'ignorer temporairement les effets négatifs de toute Condition de type Psychologie, mais doit alors parler et agir de façon neutre et inexpressive. Cette amélioration n'immunise pas aux conditions de type Psychologie, mais permet d'ignorer leurs effets temporairement. Un usage continu du régulateur peut ironiquement causer des désordres mentaux additionnels. ;-;500;40;Platine (3) + Rhodium (3) + Analgésique + Logiciel;15 minutes (dont 10 minutes d'installation avec un Cyberpsychologue) OU 1 Downtime;15;1;1
Réalité augmentée;-;Interface neurale + Oeil bionique;Le cyborg est assisté par sa connection en temps réel avec l'Extranet. En scannant le visage découvert d'une personne pendant 15 secondes, le cyborg connait immédiatement les informations de base sur l'individu, soit son nom, sa principale affiliation connue et s'il existe une prime sur sa tête. Le scan peut également être utilisé pour obtenir des informations primaires sur des lieux publics, des commerces ou des symboles. S'il s'agit d'un androïde, le nom du propriétaire et le type de modèle sont identifiés. Le cyborg peut également prendre des photos avec son oeil bionique qui seront sauvegardées en haute résolution dans son interface neurale, ou encore sur un serveur Extranet.;-;750;250;Platine (4) + Logiciel (4);20 minutes (dont 15 minutes d'installation avec un Programmeur) OU 1 Downtime;20;1;1
Liaison équipotentielle;-;Jambe bionique;"Le cyborg est immunisé à l'effet de convulsion associé aux dégâts ''choc'' de même qu'aux paralyseurs électriques. Il doit annoncer ''Résiste'' lorsqu'il reçoit des dégâts choc ou un effet ""Électricité"".";-;1250;250;Yttrium (5) + Nanotubes (2) + Platine (5);30 minutes (dont 15 minutes d'installation) OU 1 Downtime;30;1;1
Micro-isolant phonique;-;Oeil bionique;L'oeil du cyborg est muni d'une couche réactive qui devient opaque et protège la rétine en cas de surcharge lumineuse. Le cyborg est immunisé aux effets ''Aveuglement'', tels que ceux infligés par les grenades aveuglantes. Il doit annoncer ''Résiste'' si affecté par un effet d'aveuglement. ;Aveuglement (non-affecté par l'immunité);1000;100;Nanocrystaux + Prométhium (2) + Beryllium (3) + Platine (3) + Tantale (5);20 minutes (dont 15 minutes d'installation) OU 1 Downtime;20;1;1
Filtreurs avancés;-;Organes synthétiques;Les organes du cyborg sont beaucoup plus performants que des organes naturels, lui permettant de neutraliser les toxines en un temps record. Le cyborg réduit de 50% la durée de toutes les drogues et des effets de toxine. ;-;750;75;Biométal + Nanotubes + Antitoxine;20 minutes (dont 15 minutes d'installation) OU 1 Downtime;20;1;1
Capsules d'urgence;-;Organes synthétiques;L'un des organes du cyborg peut être chargé avec une dose de Biogel qui lui est administrée aussitôt qu’il tombe en péril (0 point de vie). Recharger l’organe avec une nouvelle dose de Biogel prend 5 minutes hors-combat.;-;500;150;Rhodium (3) + Logiciel + Thermoplastique (2);15 minutes (dont 10 minutes d'installation) OU 1 Downtime;15;1;1
Transhumance (H+);-;Organes synthétiques + 2 augmentations cybernétiques au choix;Le cyborg est à plus de 50% composé de composantes artificielles, et voit son humanité s'étioler. À la façon d'un androïde, il n'a plus besoin de boire, manger ou respirer et il ne souffre d'aucun effet dû au vieillissement. Il peut se faire réparer comme un androïde aussi bien que guérir par des moyens médicaux (excluant les points d'armures issus d'augmentations et d'améliorations). Par contre, toute chirurgie effectuée sur le cyborg requiert d'être effectuée avec l'assistance d'un cybernéticien en raison de la complexité de son corps hybride. Le cyborg peut acquérir des augmentations et améliorations réservées aux plateformes robotiques. Cette amélioration est réservée aux employés d'APEX Solutions. ;-;750;150;Plastoïde + Biométal + Platine;20 minutes (dont 10 minutes d'installation avec un Médecin) OU 1 Downtime;20;1;1
Stabilisation visuo-motrice;-;Stabilisateur triaxial + Oeil bionique;Trois fois par heure, alors qu'il bénéficie des bonus de l'augmentation Stabilisateur triaxial, les tirs du cyborg peuvent infliger +1 dégat.;-;2000;175;Rhodium (9) + Biométal + Nanocrystaux + Nanotubes + Yttrium (5) +  Logiciel (2) + Adrénaline (2);45 minutes (dont 30 minutes d'installation) OU 1 Downtime;45;1;1
Optimisation circulatoire;-;Turbines vasculaires;"Le cyborg peut choisir d'allonger jusqu'à 50% la durée des drogues et médicaments consommés, et son temps de péril est prolongé de 5 minutes avant la mort du personnage. Il peut également décider de perdre l'usage d'un membre biologique (i.e. pas cybernétique) pour prolonger encore de 5 minutes son temps de péril en redirigeant le sang de ce membre vers son torse. Il gagne aussi une condition ''Blessure : Nécrose"" à chaque fois qu'il perd un membre de la sorte.";-;750;150;Rhodium (5) + Nanotubes + Logiciel;20 minutes (dont 15 minutes d'installation avec un Médecin) OU 1 Downtime;20;1;1
