Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Analyse des risques;Plaque identifiée AR;Ce programme réduit de 3% (min. 0%) vos chances de détection de base lorsque vous utilisez le piratage pour voler un compte bancaire. Le bonus demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé. (Veuillez aviser l'équipe d'animation quand vous activez ce programme). Utilisable seulement par un personnage ayant la compétence Piratage simple.;50;40;-;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
Vol calqué;Plaque identifiée VC;Ce logiciel permet de pirater une fois de plus le même compte bancaire avec Piratage simple, mais le risque est augmenté de 5% (cumulatif pour chaque tentative supplémentaire dans la même activité). Utilisable seulement par un personnage ayant la compétence Piratage simple.;100;25;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Spam;Plaque identifiée S1;Ce programme vous permet d'envoyer un courriel avec un nom anonyme (ex: 407e3b6b8b88@horizon) à tous les colons présents sur Horizon-C (venir voir l'équipe d'animation). Les Spams ne sont pas considérés comme une tentative de piratage. Utilisable seulement par un personnage ayant la compétence Piratage simple.;70;15;Hameçonnage;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Clé Universelle Simple;Plaque identifiée CS;"Cette carte préprogrammée envoie des ondes courtes qui se connectent à tous les systèmes à proximité et tente de débloquer les accès. Il s'agit d'un classique pour ouvrir des portes, accès ou contenants barrés aux protections électroniques simples. Elle est utilisée par les pirates pour accélérer le temps de piratage en situation d'urgence. Après activation, cette action demande normalement 30 secondes à proximité de l'objet à ouvrir (dire ""Piratage! Clé universelle simple!""). La carte utilise toutes ses ressources pour réussir à accomplir sa tâche rapidement, mais elle se détracte après utilisation. Utilisable seulement par un personnage ayant la compétence Piratage simple.";75;10;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Data dump;Plaque identifiée DD;"Ce programme pirate extrait toutes les informations et mémoires de la dernière heure d'un androïde (conscience ou IA). Il s'agit d'un effet ""Piratage! Décris-moi en détail ta dernière heure!"". L'information est par la suite stockée dans la même plaque, qui peut être partagée à d'autres personnes. Seul un cryptographe peut décoder le data dump. Utilisable seulement par un personnage ayant la compétence Cryptographie.";100;30;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Vulnérabilité informatique;Plaque identifiée VI;Retire un pare-feu actif, au hasard, à une cible. Activation instantanée lors de l'utilisation de Piratage simple. Utilisable seulement par un personnage ayant les compétences Cryptographie et Piratage simple.;175;20;"
Clé Universelle Simple, Logiciel";10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Disrupteur;Plaque identifiée D1;Ce programme augmente de 1 tous les dégâts ''choc'' infligés par la compétence Piratage de combat (1 choc devient 2 choc, 4 choc devient 5 choc). Ce programme est à activation instantanée et dure 1 heure. Utilisable seulement par un personnage ayant la compétence Piratage de combat.;120;40;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Persistance;Plaque identifiée P1;"Après avoir affecté une cible avec un effet unique de Piratage de combat, vous pouvez faire fi de la règle qui mentionne que la cible ne peut être affectée qu'une seule fois. Vous pouvez tenter d'appliquer le même effet ou un autre, mais vous devez pointer pendant 15 secondes avec votre laser la cible. Activation instantanée (mentionner ""Persistence!"" dans votre annonce de l'effet). Ce programme reste en effet pendant 1 heure. Utilisable seulement par un personnage ayant la compétence Piratage de combat.";120;40;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Hameçonnage viral;Plaque identifiée H2, un Virus;Modifie un Virus en vous permettant de le transmettre par courriel. Ce programme vous permet d'envoyer un courriel corrompu au nom de quelqu'un d'autre, avec une adresse courriel légèrement différente (ex: prenom.nom.2@horizon) (venir voir l'équipe d'animation). Si la cible ouvre le courriel, elle est affectée par la condition Virus associée. Utilisable seulement par un personnage ayant la compétence Piratage avancé.;125;10;Hameçonnage + Logiciel;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
Analyseur de paquets;Boîte ou antenne identifiée AP;L'analyseur lit les signaux ambiants et tente de décoder des segments d'intérêt. Après 4 heures d'utilisation, un secret au hasard est révélé à l'utilisateur (voir équipe d'animation). Utilisable seulement par un personnage ayant la compétence Cryptographie.;150;20;Logiciel + Analyse des risques;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Clé Universelle Avancée;Plaque identifiée CA;Cette carte fonctionne exactement comme une clé universelle simple, mais permet de contourner des protections électroniques avancées sur des portes, contenants, véhicules et autres accès sécurisés 30 secondes après activation (dire ''Piratage! Clé universelle avancée!''). Une clé universelle avancée permet également de libérer un objet de toute protection associée à la compétence Protection matérielle en seulement 5 minutes de travail. La carte utilise toutes ses ressources pour réussir à accomplir sa tâche rapidement, mais elle se détracte après utilisation. Utilisable seulement par un personnage ayant la compétence Piratage avancé.;150;20;Logiciel (2);10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Cryptoattaque;Plaque identifiée C1;Vous cryptez complètement le compte bancaire et le courriel d'une cible, lui retirant tous ses accès pendant 2 heures. Utilisable seulement par un personnage ayant les compétences Cryptographie et Piratage Avancé.;150;20;Logiciel (2);20 minutes OU 1 Downtime pour jusqu'à 3 unités;20;1;3
Attaque Lamer;Plaque identifiée AL;Ce système d'attaque informatique permet de cibler de plus gros systèmes informatiques dans leur entièreté (voir équipe d'animation). Pour ce faire, l'attaque est programmée par un pirate avancé, puis plusieurs autres personnes ayant la compétence Informatique peuvent combiner leurs efforts et plateformes informatiques pour lancer l'attaque. Le risque de détection est de 5% pour chaque participant à l'attaque, mais plus il y a de participants, plus l'attaque risque de réussir. Le système d'attaque Lamer doit être détruit après utilisation sans quoi la détection de l'attaque est assurée. Utilisable seulement par un personnage ayant la compétence Piratage avancé.;300;30;Logiciel + Cryptoattaque;15 minutes OU 1 Downtime ;15;1;1
Antivirus : Blocage;Plaque identifiée AVB;Permet de faire fi des effets d'une condition Piratage pendant 3 heures. La condition recommence à faire effet par la suite.;75;10;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Antivirus : Réinitialisation ;Plaque identifiée AVR;Guérit instantanément certaines conditions Piratage et Dérèglement programme. Par contre, cet antivirus fait oublier au récepteur tous les événements depuis l'acquisition de la condition à retirer.;75;10;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Antivirus : Suppression;Plaque identifiée AVS;Guérit certaines conditions Piratage. Les virus se propageant rapidement dans le système, il faut par contre plus de 6 heures à cet antivirus pour finaliser la suppression. Pendant ce temps, le récepteur de l'antivirus, s'il est un androïde, perd l'usage de 3 compétences, à son choix (il doit toujours respecter les pré-requis), car les processeurs combattent le virus. S'il est un cyborg, il perd les bonus de ses augmentations pendant ce temps.;75;10;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Antivirus : Quarantaine;Plaque identifiée AVQ;Guérit instantanément certaines conditions Piratage difficiles à supprimer. Par contre, le récepteur de l'antivirus reçoit une autre condition ''Piratage : Quarantaine'';100;25;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Pare-feu anti-vol;Plaque identifiée PFA3;Activée sur une cible, la prochaine tentative de piratage qui cible son compte bancaire échoue. Le pare-feu demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé. (Veuillez aviser l'équipe d'animation quand vous activez ce pare-feu).;200;50;Logiciel (2);10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Pare-feu antivirus;Plaque identifiée PFA1;Activé sur une cible, le prochain Virus qui la cible échoue. La cible doit annoncer ''Pare-feu : Résiste'' lorsque le pare-feu est utilisé. Le pare-feu demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé.;100;25;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Pare-feu avancé;Plaque identifiée PFA2;Activée sur une cible, la prochaine tentative de piratage qui la cible échoue. La cible doit annoncer ''Pare-feu : Résiste'' lorsque le pare-feu est utilisé. Ne protège pas contre le piratage du compte bancaire. Le pare-feu demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé.;100;25;Logiciel;10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Pare-feu détecteur d'intrusion;Plaque identifiée PFI;Activé sur une cible, la prochaine tentative de piratage qui cible son compte bancaire ou sa personne (androïde, cyborg) déclenche une alerte envoyée à une personne de son choix, mais l'identité exacte du pirate n'est pas révélée. Seule son appartenance (ex: mégacorporation) est révélée.  Le pare-feu demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé. (Veuillez aviser l'équipe d'animation quand vous activez ce pare-feu).;150;15;Logiciel (2);10 minutes OU 1 Downtime pour jusqu'à 3 unités;10;1;3
Pare-feu honeypot;Plaque identifiée PFH;Activé sur une cible, la prochaine tentative de piratage qui cible son compte bancaire ou sa personne (androïde, cyborg) échoue, déclenche une alerte envoyée à une personne de son choix et cette alerte contient l'identité du pirate. Ce pare-feu ne peut pas être choisi comme pare-feu pour la compétence Cryptographie. Le pare-feu demeure actif pour toute la durée de l'événement. Ce programme ne peut être cumulé. (Veuillez aviser l'équipe d'animation quand vous activez ce pare-feu). Utilisable seulement par un personnage ayant la compétence Cryptographie.;400;60;Analyseur de paquets, Logiciel (2);20 minutes OU 1 Downtime ;20;1;1
Hermétisme logiciel;Plaque identifiée VHL;"La cible ne peut plus parler ou communiquer de quelques manières que ce soit. Elle comprend toutefois les ordres et entend toujours ce qui se passe. Il s'agit d'une condition ''Piratage : Virus : Hermétisme logiciel"" (voir équipe d'animation) qui affecte les robots et androïdes seulement.";150;15;Antivirus : Quarantaine;10 minutes OU 1 Downtime;10;1;1
Mémoire corrompue;Plaque identifiée VMC;"La cible de cette condition est aux prises avec des pertes de mémoire constantes. Elle perd la mémoire dès qu'une conversation finit ou qu'une scène prend fin. Par contre, elle se rappelle parfaitement de tout ce qui s'est passé avant qu'elle reçoive la condition. Il s'agit d'une condition ''Piratage : Virus : Mémoire corrompue"" (voir équipe d'animation) qui affecte les robots et les androïdes.";150;35;Antivirus : Suppression;10 minutes OU 1 Downtime;10;1;1
Reconnaissance corrompue;Plaque identifiée VRC;"La cible de cette condition est incapable de distinguer les humains, les consciences, les robots, les androïdes, les biosynthétiques et ainsi de suite. Elle a aussi de la difficulté à identifier les traits faciaux. Il s'agit d'une condition ''Piratage : Virus : Reconnaissance corrompue"" (voir équipe d'animation) qui affecte les robots et androïdes seulement.";150;35;Antivirus : Blocage;10 minutes OU 1 Downtime;10;1;1
Inversion des commandes;Plaque identifiée VIC;"La cible de ce virus croit fermement que ses propriétaires ou alliés sont des ennemis à tuer à vue. Il s'agit d'une condition ''Piratage : Virus : Inversion des commandes"" (voir équipe d'animation) qui affecte les robots et androïdes-IA seulement.";200;50;Logiciel (2);10 minutes OU 1 Downtime;10;1;1
Rogue subprocess;Plaque identifiée VRS;"La cible de ce virus subit des attaques d'une partie de son IA ou Conscience qui se rebelle contre elle-même. Elle montre des signes étranges d'usure (corrosion, huile suite, fil à nu qui crépite, surchauffe des processeurs, etc.). La cible ne se rend pas compte d'elle-même de son usure et est détruite définitivement après 48 heures si elle ne reçoit pas d'aide externe. Il s'agit d'une condition ''Piratage : Virus : Rogue subprocess"" (voir équipe d'animation) qui affecte les robots et androïdes seulement.";200;30;Disrupteur;10 minutes OU 1 Downtime;10;1;1
Chaos électronique;Plaque identifiée VCE;"Le virus affecte l'équipement et les augmentations d'une cible. La cible peut utiliser ceux-ci, mais 1 seconde après l'activation l'équipement ou augmentation utilisé subit un effet ""Défectueux pendant 30 minutes."". Si elle était déjà défectueuse, la pièce se détruit. Il s'agit d'une condition ''Piratage : Virus Chaos électronique"" (voir équipe d'animation) qui peut affecter tout le monde.";250;20;Disrupteur + Logiciel;15 minutes OU 1 Downtime;15;1;1
Contournement d'inhibiteur;Plaque identifiée VCI;"La cible de ce Virus dit toujours la vérité et ne peut se taire si on lui pose une question. La cible ne se rend pas compte qu'elle dit la vérité. Il s'agit d'une condition ''Piratage : Virus : Contournement d'inhibiteur"" (voir équipe d'animation) qui affecte les robots et androïdes seulement.";250;20;Spam + Logiciel (2);15 minutes OU 1 Downtime;15;1;1
Brouilleur nerveux;Plaque identifiée VBN;"Le virus attaque les programmes de gestion faisant le lien entre le système nerveux et les implants. Le virus affecte les augmentations cybernétiques uniquement. Celles-ci sont considérées comme ""défectueuses"" tant que la condition est active. Il s'agit d'une condition ''Piratage : Virus Chaos électronique"" (voir équipe d'animation) qui affecte les cyborgs seulement.";300;10;Disrupteur + Logiciel (2);15 minutes OU 1 Downtime;15;1;1
Commande neutralisante;Plaque identifiée VCN;"Le fabricant du virus décide d'un mot-clé ou phrase-clé qui met en veille (inconscience) un androïde-IA pour une durée ilimitée, jusqu'à ce que le mot de passe soit répété ou que la plateforme subisse un dégât. Prendre note qu'une majorité de la population pense que ce virus n'est qu'une simple caractéristique qui devrait être implantée dans chaque androïde-IA. Il s'agit d'une condition ''Piratage : Virus : Commande neutralisante"" (voir équipe d'animation) qui affecte les robots et androïdes-IA seulement. Si le virus a été fabriqué par un employé d'Alpha-Solaris Initiative, il peut décider que cette condition ne compte pas par rapport à la limite de condition de l'androïde.";250;10;Antivirus : Blocage + Logiciel (2);15 minutes OU 1 Downtime;15;1;1
Fréquence processeur réduite;Plaque identifiée VPR;"La cible de ce virus perd une portion significative de ses capacités cognitives et logiques. Elle ne peut plus utiliser plusieurs de ses compétences et elle prend des décisions stupides, incohérentes ou voire dangereuses. Il s'agit d'une condition ''Piratage : Virus : Fréquence processeur réduite"" (voir équipe d'animation) qui affecte les robots et androïdes seulement.";300;30;Vulnérabilité informatique + Logiciel (2);15 minutes OU 1 Downtime;15;1;1
Réduction Zéro;Plaque identifiée VRZ;"Le virus fait perdre à la cible tous ses pare-feux et anti-virus actifs. La cible ne peut pas activer sur elle de pare-feux ou d'anti-virus tant qu'elle a la condition. Il s'agit d'une condition ''Piratage : Virus Réduction Zéro"" (voir équipe d'animation) qui peut affecter tout le monde.";350;20;Clé universelle avancée + Logiciel (2);15 minutes OU 1 Downtime;15;1;1
Inhibiteur d'autonomie;Plaque identifiée VIA;"Le virus définit un propriétaire pour l'androïde-IA. Ses ordres sont absolus et l'androïde-IA doit les suivre. L'androïde-IA a peu d'initiative en présence de son propriétaire, car il doit attendre les ordres. Prendre note que plusieurs personnes dans la population pensent que ce virus n'est qu'une simple caractéristique qui devrait être implantée dans chaque androïde-IA. Il s'agit d'une condition ''Piratage : Virus Inhbiteur d'autonomie"" (voir équipe d'animation) qui affecte les robots et androïdes-IA seulement.  Si le virus a été fabriqué par un employé d'Alpha-Solaris Initiative, il peut décider que cette condition ne compte pas par rapport à la limite de condition de l'androïde.";400;50;Antivirus : Quarantaine + Pare-feu avancé + Logiciel;20 minutes OU 1 Downtime;20;1;1
