Nom;Emplacement;Pré-Requis;Description et effets;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Régénération;-;Atavisme;Des gènes d'amphibien sont réactivés chez l'individu, lui conférant les capacités de régénération des axolotls et autres salamandres juvéniles. L'individu se régénère au rythme de 1 point de vie (PV) par 15 minutes, et ses membres amputés repoussent entre les activités. Une fois cette amélioration activée, il devient impossible pour l'individu de recevoir de nouveaux implants cybernétiques, et toute autre chirurgie requiert 50% plus de temps et de coût en crédit pour être effectuée.;2500;200;Solution nutritive (5) + Adrénaline (4) + Stéroïde (3) + Culture cellulaire (3) + Biogel (2) + Biométal;45 minutes (dont 30 minutes d'installation avec un Secouriste) OU 1 Downtime;45;1;1
Armure naturelle;Peau;Atavisme + écailles, carapace ou peau texturée visible;Le sujet possède un cuir épais, des écailles fonctionnelles ou une carapace sur une importante partie de son corps, lui conférant 2 points de vie (PV) supplémentaires. D'anciens gènes reptiliens, de poissons et d'espèces pré-vertébrées sont réactivés pour parvenir à ce résultat. ;1750;200;Base (4) + Stéroïde (4) + Biomasse (4) + Anti-Grav + Nanotubes;45 minutes (dont 30 minutes d'installation avec un Médecin) OU 1 Downtime;45;1;1
Antigel;-;Adaptation;Le sujet métabolise de l'antigel naturel dans son sang et ses tissus grâce à des gènes de poissons polaires. Il est immunisé à l'effet de paralysie associé aux dégâts ''cryo'' (mais pas aux dégâts). Il doit annoncer ''Résiste!'' lorsqu'il reçoit des dégâts cryo.;1250;80;Cryofluide (2) + Biogel (2) + Neurotoxine (2) + Amphétamine;20 minutes (dont 10 minutes d'installation) OU 1 Downtime;20;1;1
Densité musculo-squeletique ;Squelette;Atavisme;Les gènes primitifs du sujet sont accentués et combinés avec des mutations spécifiques des tissus musculaires. Les muscles et le squelette du sujet deviennent extrêmement denses, lui conférant ''Force Surhumaine'' de façon passive, et lui permettant d'augmenter de +1 ses dégâts avec les armes de mêlée 3 fois par heure. Il peut également résister à une condition ''Blessure'' 1 fois par activité'. (Pour les Ceinturiens, cette amélioration n'a comme seul effet que de leur retirer leur malus de dégénérescence gravitationnelle).;1750;200;Stéroïde (4) + Adrénaline (4) + Biomasse (4) + Anti-Grav + Solution nutritive (2) + Platine (2);30 minutes (dont 20 minutes d'installation avec un Secouriste) OU 1 Downtime;30;1;1
Incubateur;-;Mutualisme;Une partie des tissus du sujet est isolée et transformée en une biomasse-mère biocompatible à partir d'une sélection de gènes de cancer humain et végétal, laquelle est réimplantée dans une relation de parasitisme contrôlé. Le sujet possède alors une biomasse-mère interne de type animale ou végétale (au choix), laquelle est toujours en parfaite condition et ne requiert pas d'être nourrie. Toutefois, la biomasse produite périodiquement doit être prélevée par un Médecin dans une opération qui requiert 5 minutes. Cette opération permet de retirer toutes les biomasses accumulées. Si le sujet accumule plus de 3 biomasses dans son organisme, la tumeur produit alors des métastases et lui confère une condition ''Santé : Cancer''.;1500;150;Organe + Culture cellulaire (5) + Uranium (2);45 minutes (dont 30 minutes d'installation avec un Médecin) OU 1 Downtime;45;1;1
Parangon;-;Thérapie génique;Les gènes du sujet sont optimisés pour accroître son acuité mémorielle, ses capacités d'apprentissage et sa vitesse de traitement de l'information. Le personnage gagne désormais 3 Exp par activité (plutôt que 2), mais toutes les conditions de type Psychologie reçues engendrent une seconde condition Psychologie aléatoire en raison de son hyperactivité mentale. Cette amélioration n'altère pas la limite de 50 Exp par personnage. Alternativement, le joueur peut choisir de recevoir instantanément 2 Exp lors de l'acquisition de cette amélioration.  ;1500;150;Nootrope (3) + Amphétamine (3) + Culture cellulaire (3) + Platine (2) + Rhodium;45 minutes (dont 30 minutes d'installation avec un Psychologue) OU 1 Downtime;45;1;1
Optimisation lymphatique ;-;Thérapie génique;"Le système immunitaire du sujet a été artificiellement augmenté par une série de vaccins, de mutations accroissant la production de lymphocytes et d'optimisations métaboliques. Le sujet est immunisé aux effets et conditions Maladie. Toutefois, si jamais il reçoit une condition ""Santé : Rejet"" (par exemple en raison d'un implant cybernétique ou d'un greffon exotique), il reçoit immédiatement une seconde carte condition du même type en raison de son système immunitaire hyperactif.";1000;120;Base (4) + Platine (3) + Antiviral + Antibiotique + Culture virale + Culture bactérienne;20 minute (dont 10 minutes d'installation avec un Secouriste) OU 1 Downtime;20;1;1
Miellat;Glandes;Phéromones + Mutualisme;Avec l'assistance de gènes d'abeilles himalayennes et d'if, le corps du sujet métabolise des composés biologiques complexes et des cellules souches excédentaires, lesquels sont préservés dans des sécrétions riches en glucides, appelés miellat. Le sujet produit une dose de cette substance à la fin de chaque cycle (et commence avec une dose en début d'activité). Il ne peut toutefois pas accumuler plus d'une dose dans son corps. Le miellat peut être sécrété à travers la salive du sujet pour des effets curatifs. Appliqué directement sur une plaie, ou sur une compresse, le miellat soigne jusqu'à 3 PVs au rythme de 1 par 5 minutes. Le miellat doit être utilisé lorsque sécrété sans quoi il perd entièrement ses effets au bout de 5 minutes.;1250;100;Culture bactérienne (3) + Biomasse (3) + Analgésique (2) + Acide + Biogel + Solution nutritive;20 minutes (dont 10 minutes d'installation) OU 1 Downtime;20;1;1
Sécrétions putrides ;Glandes;Phéromones + Atavisme;Le sujet possède des glandes odorantes putrides similaires à celles de nombreux mammifères tels l'opossum ou le ratel africain. Une fois par heure, il peut produire une odeur puissante qui équivaut à une arme chimique, causant un effet ''Toxine : Puanteur, personne ne m'approche à moins de 3 mètres'' qui perdure pendant 2 minutes. Le sujet lui-même est généralement légèrement incommodé par sa propre odeur, mais sans conséquences sévères. Le joueur doit ensuite annoncer la fin de l'effet aux personnes affectées à proximité. ;1250;120;Acide (4) + Culture bactérienne (3) + Platine (2) + Carburant (2) + Biomasse (2) + Stéroïde ;20 minutes (dont 10 minutes d'installation) OU 1 Downtime;20;1;1
Ectothermie;-;Adaptation;Aidé par des gènes de tégu, le sujet est capable d'altérer son métabolisme sur demande pour passer de sang chaud à sang froid. Il peut ainsi aisément laisser son corps à température ambiante et évader passivement toute forme de détection thermique. Exceptionnellement, le joueur n'a pas besoin d'annoncer ''Résiste'' s'il subit un tel effet, lui permettant de rester dissimulé sans révéler sa présence. ;500;50;Cryofluide + Analgésique + Sédatif;15 minutes (dont 10 min. d'installation) OU 1 Downtime;15;1;1
Contrôle métabolique;-;Adaptation;Le sujet peut choisir d'allonger jusqu'à 50% la durée des drogues et médicaments consommés, et son temps de péril est prolongé de 5 minutes avant la mort du personnage. Il est également capable de prolonger le temps de 5 minutes supplémentaires, mais reçoit alors une condition ''Santé : Hypoxie''.;750;100;Adrénaline (2) + Sédatif + Culture cellulaire + Platine;15 minutes (dont 10 min. d'installation) OU 1 Downtime;15;1;1
Dard;-;Greffon exotique;Des structures biologiques inspirées du dard des guêpes et des forcipules des centipèdes sont intégrées au greffon, permettant l'injection d'un venin douloureux à déploiement rapide. Une fois par heure, le sujet peut infliger un effet ''Toxine : Souffrance 10 secondes'' au contact lors d'une attaque avec son greffon exotique. Ce venin devient rapidement inactif au contact de l'air et ne peut donc pas être appliqué sur des armes. ;500;50;Biomasse (2) + Acide + Immunosuppresseur + Antitoxine;15 minutes (dont 10 minutes d'installation avec un Médecin) OU 1 Downtime;15;1;1
Rostre ;-;Greffon exotique;Des structures biologiques inspirées du rostre des punaises et des tiques sont intégrées au greffon, permettant au sujet de consommer de larges quantités de sang en quelques instants. Le sujet est également altéré génétiquement, devenant un receveur universel AB+, ce qui lui permet de faire usage de ce sang dans son propre système circulatoire. Au contact, le sujet peut infliger 1 dégât ''perce'' par seconde, chaque dégàt infligé lui restaurant 1 PV, pour un maximum de 5 par cycle. La guérison ne fonctionne que si la victime est humaine.;750;90;Biomasse (3) + Immunosuppresseur + Hémorragique;20 minutes (dont 10 minutes d'installation avec un Médecin) OU 1 Downtime;20;1;1
Étau chitineux ;-;Greffon exotique + armure naturelle;"Le greffon du sujet est perfectionné avec des gènes de crustacé pour devenir un véritable étau biologique, capable de surporter une pression interne rivalisant avec les systèmes hydrauliques les plus avancés. La force de poigne du membre devient telle qu'il est capable de broyer des objets et des membres avec un effort minimal. Il peut briser une arme ou un objet tenu en main après 5 secondes concentrées à le broyer, le rendant inutilisable jusqu'à réparation. Il doit annoncer l'effet ""Brise-arme! Ton arme est détruite."" ou ""Brise-bouclier! Ton bouclier est détruit."". Il peut faire de même avec un membre, annonçant plutôt ''Brise-membre! Ton membre est inutilisable jusqu'à guérison/réparation.''. Le sujet est également immunisé aux effets de désarmement.";2000;100;Organe + Culture cellulaire (4) + Nanotubes (2) + Stéroïdes (2);45 minutes (dont 30 minutes d'installation avec un Médecin) OU 1 Downtime;45;1;1
Chromatophores ;Peau;Compression;L'ajout de gènes supplémentaires de poulpe et de sèche confère au sujet un épiderme capable de changements de texture et de couleur significatifs. Le sujet peut changer la couleur de sa peau  pour présenter des teintes vivaces et exotiques, ou tout simplement camoufler des colorations inhabituelles généralement issues d'augmentations biologiques. Le sujet est également capable de confondre les systèmes biométriques en changeant la forme de ses empreintes digitales ou la forme de son iris. Il peut donc utiliser des objets sans conséquence malgré une Sécurité biométrique. À noter que la protection biométrique n'est pas désactivée, seulement ineffective envers le sujet.;750;120;Nootrope + Culture cellulaire + Psychotrope + Platine (2) + Biomasse (2);20 min. (dont 10 minutes d'installation) OU 1 Downtime;20;1;1
